"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Resolution","Topic"
"GO:0009786","BP","GO:0009786","regulation of asymmetric cell division","7/110","11/17073",1.22697775488718e-13,2.62205146219391e-10,2.34546484513171e-10,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"9-Topic Analysis","Topic k2"
"GO:0002505","BP","GO:0002505","antigen processing and presentation of polysaccharide antigen via MHC class II","7/110","13/17073",6.31308387823909e-13,2.69821204955939e-10,2.41359164692257e-10,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0002506","BP","GO:0002506","polysaccharide assembly with MHC class II protein complex","7/110","13/17073",6.31308387823909e-13,2.69821204955939e-10,2.41359164692257e-10,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0065006","BP","GO:0065006","protein-carbohydrate complex assembly","7/110","13/17073",6.31308387823909e-13,2.69821204955939e-10,2.41359164692257e-10,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0071823","BP","GO:0071823","protein-carbohydrate complex subunit organization","7/110","13/17073",6.31308387823909e-13,2.69821204955939e-10,2.41359164692257e-10,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0001714","BP","GO:0001714","endodermal cell fate specification","7/110","15/17073",2.3424733343145e-12,8.34310919238346e-10,7.46303785107917e-10,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"9-Topic Analysis","Topic k2"
"GO:0060965","BP","GO:0060965","negative regulation of gene silencing by miRNA","7/110","20/17073",2.74818377082939e-11,8.38981245466058e-09,7.50481462831004e-09,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"9-Topic Analysis","Topic k2"
"GO:0001711","BP","GO:0001711","endodermal cell fate commitment","7/110","22/17073",5.9823435422811e-11,1.27842681498547e-08,1.143572197135e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"9-Topic Analysis","Topic k2"
"GO:0060149","BP","GO:0060149","negative regulation of posttranscriptional gene silencing","7/110","22/17073",5.9823435422811e-11,1.27842681498547e-08,1.143572197135e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"9-Topic Analysis","Topic k2"
"GO:0060967","BP","GO:0060967","negative regulation of gene silencing by RNA","7/110","22/17073",5.9823435422811e-11,1.27842681498547e-08,1.143572197135e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"9-Topic Analysis","Topic k2"
"GO:0002503","BP","GO:0002503","peptide antigen assembly with MHC class II protein complex","7/110","23/17073",8.55422693454734e-11,1.66185299628433e-08,1.48655273809933e-08,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0042789","BP","GO:0042789","mRNA transcription by RNA polymerase II","7/110","24/17073",1.20128133776072e-10,2.13928184899555e-08,1.91362009594164e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"9-Topic Analysis","Topic k2"
"GO:0002501","BP","GO:0002501","peptide antigen assembly with MHC protein complex","7/110","25/17073",1.6596402316477e-10,2.72819321156241e-08,2.44041025155646e-08,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0060964","BP","GO:0060964","regulation of gene silencing by miRNA","10/110","90/17073",3.02512661546085e-10,4.32199646829786e-08,3.86609146438879e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/TRIM71/MYCN",10,"9-Topic Analysis","Topic k2"
"GO:0008356","BP","GO:0008356","asymmetric cell division","7/110","27/17073",3.03368961275002e-10,4.32199646829786e-08,3.86609146438879e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"9-Topic Analysis","Topic k2"
"GO:0060147","BP","GO:0060147","regulation of posttranscriptional gene silencing","10/110","93/17073",4.20450104238639e-10,5.28530513387042e-08,4.72778569224377e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/TRIM71/MYCN",10,"9-Topic Analysis","Topic k2"
"GO:0060966","BP","GO:0060966","regulation of gene silencing by RNA","10/110","93/17073",4.20450104238639e-10,5.28530513387042e-08,4.72778569224377e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/TRIM71/MYCN",10,"9-Topic Analysis","Topic k2"
"GO:0002399","BP","GO:0002399","MHC class II protein complex assembly","7/110","29/17073",5.27581049137526e-10,5.93389843161523e-08,5.30796224506231e-08,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0060969","BP","GO:0060969","negative regulation of gene silencing","7/110","29/17073",5.27581049137526e-10,5.93389843161523e-08,5.30796224506231e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"9-Topic Analysis","Topic k2"
"GO:0060795","BP","GO:0060795","cell fate commitment involved in formation of primary germ layer","8/110","48/17073",6.98962208542246e-10,7.4684111982739e-08,6.68060721427747e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP2",8,"9-Topic Analysis","Topic k2"
"GO:0009299","BP","GO:0009299","mRNA transcription","7/110","31/17073",8.79503075989171e-10,8.94999082566123e-08,8.00590268669842e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"9-Topic Analysis","Topic k2"
"GO:0035019","BP","GO:0035019","somatic stem cell population maintenance","9/110","81/17073",2.43315591419247e-09,2.36347917664968e-07,2.1141680096524e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP1/LIN28A",9,"9-Topic Analysis","Topic k2"
"GO:0002396","BP","GO:0002396","MHC protein complex assembly","7/110","36/17073",2.71912860181083e-09,2.52642514003032e-07,2.25992564800387e-07,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0060968","BP","GO:0060968","regulation of gene silencing","10/110","115/17073",3.44866516490735e-09,3.07074894058625e-07,2.74683155239989e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/TRIM71/MYCN",10,"9-Topic Analysis","Topic k2"
"GO:0035195","BP","GO:0035195","gene silencing by miRNA","10/110","128/17073",9.79056313034876e-09,8.36897336382212e-07,7.48617374514246e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/TRIM71/MYCN",10,"9-Topic Analysis","Topic k2"
"GO:0035194","BP","GO:0035194","posttranscriptional gene silencing by RNA","10/110","133/17073",1.41791361954714e-08,1.16541592498932e-06,1.04248224012049e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/TRIM71/MYCN",10,"9-Topic Analysis","Topic k2"
"GO:0016441","BP","GO:0016441","posttranscriptional gene silencing","10/110","134/17073",1.52409135336849e-08,1.20629008227721e-06,1.07904479443165e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/TRIM71/MYCN",10,"9-Topic Analysis","Topic k2"
"GO:0035987","BP","GO:0035987","endodermal cell differentiation","7/110","52/17073",4.00426226764278e-08,3.05611016641165e-06,2.73373694663131e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"9-Topic Analysis","Topic k2"
