"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Resolution","Topic"
"GO:1903311","BP","GO:1903311","regulation of mRNA metabolic process","21/101","308/17073",8.54207019473891e-17,1.53842684207248e-13,1.26062972768673e-13,"NPM1/PSMB5/HNRNPA1/UBB/SRSF7/EXOSC7/SERBP1/PSMB1/PSMB1/YBX1/PRDX6/HSPA8/ANP32A/PSMA3/SET/SRSF9/PSMB6/HNRNPA2B1/SRSF3/HNRNPK/PSMB7",21,"30-Topic Analysis","Topic k29"
"GO:0006278","BP","GO:0006278","RNA-dependent DNA biosynthetic process","11/101","73/17073",4.66719959941229e-13,3.17595522101685e-10,2.6024660100328e-10,"HSP90AB1/PPIA/CCT2/CCT5/HNRNPA1/CCT8/HSP90AA1/XRCC5/CCT6A/PTGES3/CCT7",11,"30-Topic Analysis","Topic k29"
"GO:0006457","BP","GO:0006457","protein folding","15/101","201/17073",8.37479622558092e-13,3.17595522101685e-10,2.6024660100328e-10,"PPIA/CCT2/CCT5/HSPD1/CCT8/HSP90AA1/CCT6A/HSPA8/PTGES3/CCT7/DNAJC7/FKBP4/DNAJA1/PDIA3/UBXN1",15,"30-Topic Analysis","Topic k29"
"GO:2000573","BP","GO:2000573","positive regulation of DNA biosynthetic process","11/101","77/17073",8.59498982330506e-13,3.17595522101685e-10,2.6024660100328e-10,"HSP90AB1/CCT2/CCT5/HNRNPA1/CCT8/HSP90AA1/XRCC5/CCT6A/PTGES3/CCT7/HNRNPA2B1",11,"30-Topic Analysis","Topic k29"
"GO:0000377","BP","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","18/101","336/17073",1.05806392704615e-12,3.17595522101685e-10,2.6024660100328e-10,"HNRNPA1/SRSF7/YBX1/PRDX6/SNRPA1/HNRNPM/HSPA8/HNRNPF/SRSF9/EIF4A3/PSIP1/DNAJC8/DNAJC8/HNRNPA2B1/SRSF3/STRAP/HNRNPH3/HNRNPK",18,"30-Topic Analysis","Topic k29"
"GO:0000398","BP","GO:0000398","mRNA splicing, via spliceosome","18/101","336/17073",1.05806392704615e-12,3.17595522101685e-10,2.6024660100328e-10,"HNRNPA1/SRSF7/YBX1/PRDX6/SNRPA1/HNRNPM/HSPA8/HNRNPF/SRSF9/EIF4A3/PSIP1/DNAJC8/DNAJC8/HNRNPA2B1/SRSF3/STRAP/HNRNPH3/HNRNPK",18,"30-Topic Analysis","Topic k29"
"GO:0000375","BP","GO:0000375","RNA splicing, via transesterification reactions","18/101","340/17073",1.29210965204371e-12,3.32441354761532e-10,2.72411689047411e-10,"HNRNPA1/SRSF7/YBX1/PRDX6/SNRPA1/HNRNPM/HSPA8/HNRNPF/SRSF9/EIF4A3/PSIP1/DNAJC8/DNAJC8/HNRNPA2B1/SRSF3/STRAP/HNRNPH3/HNRNPK",18,"30-Topic Analysis","Topic k29"
"GO:0010833","BP","GO:0010833","telomere maintenance via telomere lengthening","11/101","82/17073",1.75803589106023e-12,3.95777829974935e-10,3.24311357798217e-10,"HSP90AB1/CCT2/CCT5/HNRNPA1/CCT8/HSP90AA1/XRCC5/CCT6A/PTGES3/CCT7/HNRNPA2B1",11,"30-Topic Analysis","Topic k29"
"GO:0043488","BP","GO:0043488","regulation of mRNA stability","14/101","184/17073",3.92675675718481e-12,7.85787657743316e-10,6.43896254219077e-10,"NPM1/PSMB5/UBB/EXOSC7/SERBP1/PSMB1/PSMB1/YBX1/HSPA8/ANP32A/PSMA3/SET/PSMB6/PSMB7",14,"30-Topic Analysis","Topic k29"
"GO:0006403","BP","GO:0006403","RNA localization","15/101","226/17073",4.58306122005834e-12,8.25409325732507e-10,6.76363350581241e-10,"RAN/SSB/RTRAF/CCT2/CCT5/HNRNPA1/CCT8/SRSF7/CCT6A/CCT7/SRSF9/EIF4A3/HNRNPA2B1/SRSF3/SARNP",15,"30-Topic Analysis","Topic k29"
"GO:0043487","BP","GO:0043487","regulation of RNA stability","14/101","194/17073",8.06488928119923e-12,1.32044232685816e-09,1.0820071552384e-09,"NPM1/PSMB5/UBB/EXOSC7/SERBP1/PSMB1/PSMB1/YBX1/HSPA8/ANP32A/PSMA3/SET/PSMB6/PSMB7",14,"30-Topic Analysis","Topic k29"
"GO:0007004","BP","GO:0007004","telomere maintenance via telomerase","10/101","71/17073",1.14021671146469e-11,1.66703001145449e-09,1.36601074026664e-09,"HSP90AB1/CCT2/CCT5/HNRNPA1/CCT8/HSP90AA1/XRCC5/CCT6A/PTGES3/CCT7",10,"30-Topic Analysis","Topic k29"
"GO:0008380","BP","GO:0008380","RNA splicing","19/101","444/17073",1.20329762070563e-11,1.66703001145449e-09,1.36601074026664e-09,"RTRAF/HNRNPA1/SRSF7/YBX1/PRDX6/SNRPA1/HNRNPM/HSPA8/HNRNPF/SRSF9/EIF4A3/PSIP1/DNAJC8/DNAJC8/HNRNPA2B1/SRSF3/STRAP/HNRNPH3/HNRNPK",19,"30-Topic Analysis","Topic k29"
"GO:0061013","BP","GO:0061013","regulation of mRNA catabolic process","14/101","204/17073",1.59152325187145e-11,2.04738098330035e-09,1.67768090159683e-09,"NPM1/PSMB5/UBB/EXOSC7/SERBP1/PSMB1/PSMB1/YBX1/HSPA8/ANP32A/PSMA3/SET/PSMB6/PSMB7",14,"30-Topic Analysis","Topic k29"
"GO:1904358","BP","GO:1904358","positive regulation of telomere maintenance via telomere lengthening","8/101","40/17073",7.44366546451619e-11,8.93736100106244e-09,7.32352209210645e-09,"CCT2/CCT5/HNRNPA1/CCT8/XRCC5/CCT6A/CCT7/HNRNPA2B1",8,"30-Topic Analysis","Topic k29"
"GO:0000723","BP","GO:0000723","telomere maintenance","12/101","150/17073",8.26801881422238e-11,9.30668867775907e-09,7.62615945890775e-09,"HSP90AB1/CCT2/CCT5/HNRNPA1/CCT8/HSP90AA1/XRCC5/CCT6A/PTGES3/CCT7/XRCC6/HNRNPA2B1",12,"30-Topic Analysis","Topic k29"
