"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Resolution","Topic"
"GO:0009786","BP","GO:0009786","regulation of asymmetric cell division","7/102","11/17073",7.13219667844607e-14,1.65110353106026e-10,1.28004161439479e-10,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"6-Topic Analysis","Topic k3"
"GO:0001714","BP","GO:0001714","endodermal cell fate specification","7/102","15/17073",1.36388268962388e-12,1.57869421323964e-09,1.2239052556888e-09,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"6-Topic Analysis","Topic k3"
"GO:0060969","BP","GO:0060969","negative regulation of gene silencing","8/102","29/17073",4.75003249558077e-12,3.66544174242316e-09,2.84168610700534e-09,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/HMGA1",8,"6-Topic Analysis","Topic k3"
"GO:0033044","BP","GO:0033044","regulation of chromosome organization","17/102","335/17073",1.33967725582366e-11,7.42375011836177e-09,5.75536839913917e-09,"SET/CENPV/CDC20/TOP2A/MAD2L1/HMGA1/CCNB1/DLGAP5/DNMT3B/HNRNPA2B1/CENPF/TRIM28/RMI2/HNRNPD/TERF1/HNRNPC/AURKB",17,"6-Topic Analysis","Topic k3"
"GO:0060965","BP","GO:0060965","negative regulation of gene silencing by miRNA","7/102","20/17073",1.60340175342587e-11,7.42375011836177e-09,5.75536839913917e-09,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"6-Topic Analysis","Topic k3"
"GO:0001711","BP","GO:0001711","endodermal cell fate commitment","7/102","22/17073",3.49321631285953e-11,1.01084947053373e-08,7.83675501766514e-09,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"6-Topic Analysis","Topic k3"
"GO:0060149","BP","GO:0060149","negative regulation of posttranscriptional gene silencing","7/102","22/17073",3.49321631285953e-11,1.01084947053373e-08,7.83675501766514e-09,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"6-Topic Analysis","Topic k3"
"GO:0060967","BP","GO:0060967","negative regulation of gene silencing by RNA","7/102","22/17073",3.49321631285953e-11,1.01084947053373e-08,7.83675501766514e-09,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"6-Topic Analysis","Topic k3"
"GO:0042789","BP","GO:0042789","mRNA transcription by RNA polymerase II","7/102","24/17073",7.02031057724567e-11,1.8057798873693e-08,1.39995667066712e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"6-Topic Analysis","Topic k3"
"GO:0008356","BP","GO:0008356","asymmetric cell division","7/102","27/17073",1.77508348540122e-10,4.10931826870382e-08,3.18580772906219e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"6-Topic Analysis","Topic k3"
"GO:0007059","BP","GO:0007059","chromosome segregation","15/102","292/17073",2.00974291593497e-10,4.22959531853587e-08,3.27905423126232e-08,"RAN/CDC20/TOP2A/MAD2L1/CCNB1/DLGAP5/BIRC5/SPC25/SPC25/CENPF/RMI2/TERF1/CENPW/AURKB/NCAPG",15,"6-Topic Analysis","Topic k3"
"GO:2001251","BP","GO:2001251","negative regulation of chromosome organization","11/102","127/17073",2.50014583937824e-10,4.82319801513385e-08,3.73925320714026e-08,"SET/CDC20/TOP2A/MAD2L1/HMGA1/CCNB1/DNMT3B/CENPF/TERF1/HNRNPC/AURKB",11,"6-Topic Analysis","Topic k3"
"GO:0060795","BP","GO:0060795","cell fate commitment involved in formation of primary germ layer","8/102","48/17073",3.80430740739762e-10,6.77459357548115e-08,5.25210050980805e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP2",8,"6-Topic Analysis","Topic k3"
"GO:0009299","BP","GO:0009299","mRNA transcription","7/102","31/17073",5.15465302470584e-10,8.52358696585288e-08,6.60803263693494e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"6-Topic Analysis","Topic k3"
"GO:0035019","BP","GO:0035019","somatic stem cell population maintenance","9/102","81/17073",1.23734430761243e-09,1.90963471474852e-07,1.48047161016084e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP1/PRDM14",9,"6-Topic Analysis","Topic k3"
"GO:0071103","BP","GO:0071103","DNA conformation change","13/102","235/17073",1.44661481404654e-09,2.09307080907358e-07,1.62268306444036e-07,"NASP/SET/HMGB2/CENPV/TOP2A/HMGB1/HMGA1/CCNB1/HNRNPA2B1/GINS2/CDK1/CENPW/NCAPG",13,"6-Topic Analysis","Topic k3"
"GO:0001708","BP","GO:0001708","cell fate specification","9/102","85/17073",1.91473306529262e-09,2.60741590950143e-07,2.02143645592813e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP2/PRDM14",9,"6-Topic Analysis","Topic k3"
"GO:0040029","BP","GO:0040029","regulation of gene expression, epigenetic","14/102","292/17073",2.07383800094328e-09,2.6671860956576e-07,2.06777414713935e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/RAN/HMGB1/HMGA1/DNMT3B/HNRNPA2B1/PRDM14/TRIM28",14,"6-Topic Analysis","Topic k3"
"GO:0051302","BP","GO:0051302","regulation of cell division","11/102","169/17073",5.2770659863222e-09,6.429688293861e-07,4.98470775993316e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/CENPV/KIF20B/SFRP2/AURKB",11,"6-Topic Analysis","Topic k3"
"GO:0016458","BP","GO:0016458","gene silencing","12/102","218/17073",6.83063280501286e-09,7.90645747180238e-07,6.12959417502469e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/RAN/HMGB1/HMGA1/HNRNPA2B1/TRIM28",12,"6-Topic Analysis","Topic k3"
"GO:0000280","BP","GO:0000280","nuclear division","15/102","388/17073",9.83094791554888e-09,1.08374497259503e-06,8.40188781754929e-07,"CKS2/RAN/CDC20/TOP2A/MAD2L1/UBE2C/CCNB1/DLGAP5/KIF20B/UBE2S/TPX2/CENPF/TERF1/AURKB/NCAPG",15,"6-Topic Analysis","Topic k3"
