"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Resolution","Topic"
"GO:0009786","BP","GO:0009786","regulation of asymmetric cell division","7/112","11/17073",1.3962911763917e-13,3.21146970570092e-10,2.70145598127153e-10,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"5-Topic Analysis","Topic k4"
"GO:0001714","BP","GO:0001714","endodermal cell fate specification","7/112","15/17073",2.66461818515148e-12,3.0643109129242e-09,2.57766748647812e-09,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"5-Topic Analysis","Topic k4"
"GO:0007051","BP","GO:0007051","spindle organization","14/112","172/17073",6.64121670241637e-12,5.09159947185255e-09,4.28300221018993e-09,"TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/CDC20/STMN1/SPC25/SPC25/CCNB1/RAN",14,"5-Topic Analysis","Topic k4"
"GO:0060965","BP","GO:0060965","negative regulation of gene silencing by miRNA","7/112","20/17073",3.12451423797029e-11,1.79659568683292e-08,1.51127820247089e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"5-Topic Analysis","Topic k4"
"GO:0001711","BP","GO:0001711","endodermal cell fate commitment","7/112","22/17073",6.80015304572963e-11,2.23433600073973e-08,1.87950094707535e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"5-Topic Analysis","Topic k4"
"GO:0060149","BP","GO:0060149","negative regulation of posttranscriptional gene silencing","7/112","22/17073",6.80015304572963e-11,2.23433600073973e-08,1.87950094707535e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"5-Topic Analysis","Topic k4"
"GO:0060967","BP","GO:0060967","negative regulation of gene silencing by RNA","7/112","22/17073",6.80015304572963e-11,2.23433600073973e-08,1.87950094707535e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"5-Topic Analysis","Topic k4"
"GO:0042789","BP","GO:0042789","mRNA transcription by RNA polymerase II","7/112","24/17073",1.36522015314283e-10,3.92500794028563e-08,3.30167715983753e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"5-Topic Analysis","Topic k4"
"GO:0008356","BP","GO:0008356","asymmetric cell division","7/112","27/17073",3.44663330334835e-10,8.80806288633468e-08,7.40925381468336e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"5-Topic Analysis","Topic k4"
"GO:0060969","BP","GO:0060969","negative regulation of gene silencing","7/112","29/17073",5.99271743505361e-10,1.37832501006233e-07,1.15943312059248e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"5-Topic Analysis","Topic k4"
"GO:0060795","BP","GO:0060795","cell fate commitment involved in formation of primary germ layer","8/112","48/17073",8.07807088560699e-10,1.68905118517237e-07,1.42081285050198e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP2",8,"5-Topic Analysis","Topic k4"
"GO:0009299","BP","GO:0009299","mRNA transcription","7/112","31/17073",9.9880952743284e-10,1.91438492757961e-07,1.61036132580839e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"5-Topic Analysis","Topic k4"
"GO:1901987","BP","GO:1901987","regulation of cell cycle phase transition","18/112","474/17073",1.7818462870332e-09,3.15249727705873e-07,2.65184896807046e-07,"NPM1/UBE2C/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/DLGAP5/CENPF/CDC20/USP44/CCNB1/MAD2L1/CDK1/HMMR",18,"5-Topic Analysis","Topic k4"
"GO:0035019","BP","GO:0035019","somatic stem cell population maintenance","9/112","81/17073",2.85735595769068e-09,4.69422764477754e-07,3.94873703025223e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP1/LIN28A",9,"5-Topic Analysis","Topic k4"
"GO:1902749","BP","GO:1902749","regulation of cell cycle G2/M phase transition","13/112","231/17073",3.78237941136972e-09,5.79964843076691e-07,4.87860586533161e-07,"NPM1/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/CENPF/CCNB1/CDK1/HMMR",13,"5-Topic Analysis","Topic k4"
"GO:1901990","BP","GO:1901990","regulation of mitotic cell cycle phase transition","17/112","441/17073",4.21953316063594e-09,6.06557891841416e-07,5.10230391397951e-07,"UBE2C/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/DLGAP5/CENPF/CDC20/USP44/CCNB1/MAD2L1/CDK1/HMMR",17,"5-Topic Analysis","Topic k4"
"GO:1904666","BP","GO:1904666","regulation of ubiquitin protein ligase activity","6/112","23/17073",6.41791737955309e-09,8.68306468998359e-07,7.3041065904759e-07,"UBE2C/UBE2S/CDC20/RPL11/USP44/MAD2L1",6,"5-Topic Analysis","Topic k4"
"GO:0035195","BP","GO:0035195","gene silencing by miRNA","10/112","128/17073",1.16667601550496e-08,1.49075268647856e-06,1.2540061499989e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/HNRNPA2B1/RAN",10,"5-Topic Analysis","Topic k4"
"GO:0001906","BP","GO:0001906","cell killing","12/112","209/17073",1.24745422681215e-08,1.51007616929892e-06,1.270260869186e-06,"TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/HMGN2/CHGA/CHGA/HSP90AB1",12,"5-Topic Analysis","Topic k4"
"GO:0051302","BP","GO:0051302","regulation of cell division","11/112","169/17073",1.42754432134946e-08,1.64167596955188e-06,1.38096129612648e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP2/CENPV/KIF20B/YBX1",11,"5-Topic Analysis","Topic k4"
"GO:0035194","BP","GO:0035194","posttranscriptional gene silencing by RNA","10/112","133/17073",1.68873294486364e-08,1.78902472574853e-06,1.50490958623606e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/HNRNPA2B1/RAN",10,"5-Topic Analysis","Topic k4"
"GO:0010389","BP","GO:0010389","regulation of G2/M transition of mitotic cell cycle","12/112","215/17073",1.71124104202033e-08,1.78902472574853e-06,1.50490958623606e-06,"TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/CENPF/CCNB1/CDK1/HMMR",12,"5-Topic Analysis","Topic k4"
"GO:0016441","BP","GO:0016441","posttranscriptional gene silencing","10/112","134/17073",1.81499707436036e-08,1.81499707436036e-06,1.52675726438185e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/HNRNPA2B1/RAN",10,"5-Topic Analysis","Topic k4"
"GO:0016458","BP","GO:0016458","gene silencing","12/112","218/17073",1.99679658307498e-08,1.91359672544685e-06,1.60969829811044e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/HMGB1/HELLS/HNRNPA2B1/RAN",12,"5-Topic Analysis","Topic k4"
"GO:0097711","BP","GO:0097711","ciliary basal body-plasma membrane docking","9/112","107/17073",3.40853121039737e-08,3.13584871356558e-06,2.63784436408858e-06,"TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/CDK1",9,"5-Topic Analysis","Topic k4"
"GO:0035987","BP","GO:0035987","endodermal cell differentiation","7/112","52/17073",4.53765586195227e-08,3.86089349035321e-06,3.24774473010032e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"5-Topic Analysis","Topic k4"
"GO:0071103","BP","GO:0071103","DNA conformation change","12/112","235/17073",4.58457890340625e-08,3.86089349035321e-06,3.24774473010032e-06,"NPM1/SET/CENPV/HMGB1/HMGB2/NASP/TOP2A/HELLS/HNRNPA2B1/CCNB1/GINS2/CDK1",12,"5-Topic Analysis","Topic k4"
"GO:0051225","BP","GO:0051225","spindle assembly","9/112","111/17073",4.70021816216913e-08,3.86089349035321e-06,3.24774473010032e-06,"TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/CDC20",9,"5-Topic Analysis","Topic k4"
"GO:0044839","BP","GO:0044839","cell cycle G2/M phase transition","13/112","287/17073",5.01956527106416e-08,3.98103452532674e-06,3.34880615906204e-06,"NPM1/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/CENPF/CCNB1/CDK1/HMMR",13,"5-Topic Analysis","Topic k4"
"GO:0007059","BP","GO:0007059","chromosome segregation","13/112","292/17073",6.14397838648478e-08,4.55843557706935e-06,3.83451011013889e-06,"DLGAP5/CENPF/CDC20/BIRC5/TOP2A/USP44/SPC25/SPC25/CCNB1/TERF1/MAD2L1/SLC25A5/RAN",13,"5-Topic Analysis","Topic k4"
"GO:0040029","BP","GO:0040029","regulation of gene expression, epigenetic","13/112","292/17073",6.14397838648478e-08,4.55843557706935e-06,3.83451011013889e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/HMGB1/HELLS/HNRNPA2B1/DNMT3B/RAN",13,"5-Topic Analysis","Topic k4"
"GO:0071824","BP","GO:0071824","protein-DNA complex subunit organization","11/112","199/17073",7.69716765302477e-08,5.53233925061155e-06,4.65374807442747e-06,"NPM1/SET/CENPV/HMGB1/PTMA/HMGB2/NASP/CENPF/HELLS/TERF1/RPA3",11,"5-Topic Analysis","Topic k4"
