"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Resolution","Topic"
"GO:0005732","CC","GO:0005732","small nucleolar ribonucleoprotein complex","4/97","21/17712",4.70958516832151e-06,0.00115855795140709,0.00104602365317457,"LSM6/NOP56/FBL/FBL",4,"15-Topic Analysis","Topic k2"
"GO:0030532","CC","GO:0030532","small nuclear ribonucleoprotein complex","5/97","61/17712",2.07222606734437e-05,0.00138023501933665,0.00124616854548581,"SNRPG/SNRPN/LSM6/PHF5A/LSM5",5,"15-Topic Analysis","Topic k2"
"GO:0071005","CC","GO:0071005","U2-type precatalytic spliceosome","5/97","62/17712",2.24428458428724e-05,0.00138023501933665,0.00124616854548581,"SNRPG/LSM6/SRRM2/PHF5A/LSM5",5,"15-Topic Analysis","Topic k2"
"GO:0071011","CC","GO:0071011","precatalytic spliceosome","5/97","62/17712",2.24428458428724e-05,0.00138023501933665,0.00124616854548581,"SNRPG/LSM6/SRRM2/PHF5A/LSM5",5,"15-Topic Analysis","Topic k2"
"GO:0120114","CC","GO:0120114","Sm-like protein family complex","5/97","74/17712",5.30479404917952e-05,0.00260995867219632,0.0023564453565829,"SNRPG/SNRPN/LSM6/PHF5A/LSM5",5,"15-Topic Analysis","Topic k2"
"GO:0005681","CC","GO:0005681","spliceosomal complex","7/97","185/17712",7.04510955466932e-05,0.00288849491741442,0.00260792651936004,"SNRPG/SNRPN/LSM6/SRRM2/PHF5A/HNRNPC/LSM5",7,"15-Topic Analysis","Topic k2"
"GO:0005684","CC","GO:0005684","U2-type spliceosomal complex","5/97","91/17712",0.00014231989781254,0.00500152783741214,0.00451571405089414,"SNRPG/LSM6/SRRM2/PHF5A/LSM5",5,"15-Topic Analysis","Topic k2"
"GO:0044455","CC","GO:0044455","mitochondrial membrane part","7/97","215/17712",0.000179481024067846,0.00550754725604433,0.00497258224657832,"COA3/LYN/COX5A/NDUFB10/CHCHD10/CHCHD10/TIMM10B",7,"15-Topic Analysis","Topic k2"
"GO:0097525","CC","GO:0097525","spliceosomal snRNP complex","4/97","53/17712",0.000201495631318695,0.00550754725604433,0.00497258224657832,"SNRPG/LSM6/PHF5A/LSM5",4,"15-Topic Analysis","Topic k2"
"GO:0060700","BP","GO:0060700","regulation of ribonuclease activity","5/93","10/17073",1.06096700069525e-09,7.51459779459409e-07,5.96927356011163e-07,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:0010286","BP","GO:0010286","heat acclimation","5/93","11/17073",1.936752008916e-09,7.51459779459409e-07,5.96927356011163e-07,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:0070370","BP","GO:0070370","cellular heat acclimation","5/93","11/17073",1.936752008916e-09,7.51459779459409e-07,5.96927356011163e-07,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:0070426","BP","GO:0070426","positive regulation of nucleotide-binding oligomerization domain containing signaling pathway","5/93","11/17073",1.936752008916e-09,7.51459779459409e-07,5.96927356011163e-07,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:0070434","BP","GO:0070434","positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway","5/93","11/17073",1.936752008916e-09,7.51459779459409e-07,5.96927356011163e-07,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:0032075","BP","GO:0032075","positive regulation of nuclease activity","5/93","12/17073",3.30588744794449e-09,9.16203092716043e-07,7.27792364479809e-07,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:0090063","BP","GO:0090063","positive regulation of microtubule nucleation","5/93","12/17073",3.30588744794449e-09,9.16203092716043e-07,7.27792364479809e-07,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:0010968","BP","GO:0010968","regulation of microtubule nucleation","5/93","14/17073",8.28493404873548e-09,1.78586356161631e-06,1.41861326869576e-06,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:0070432","BP","GO:0070432","regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway","5/93","14/17073",8.28493404873548e-09,1.78586356161631e-06,1.41861326869576e-06,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:1901029","BP","GO:1901029","negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway","5/93","15/17073",1.23740416460416e-08,2.40056407933207e-06,1.90690494418999e-06,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:0070424","BP","GO:0070424","regulation of nucleotide-binding oligomerization domain containing signaling pathway","5/93","17/17073",2.52795583100572e-08,4.08686192679259e-06,3.24642748823893e-06,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:0097201","BP","GO:0097201","negative regulation of transcription from RNA polymerase II promoter in response to stress","5/93","17/17073",2.52795583100572e-08,4.08686192679259e-06,3.24642748823893e-06,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:1903265","BP","GO:1903265","positive regulation of tumor necrosis factor-mediated signaling pathway","5/93","18/17073",3.48522091529868e-08,5.20102198129188e-06,4.1314683562731e-06,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:0090084","BP","GO:0090084","negative regulation of inclusion body assembly","5/93","19/17073",4.70963981354209e-08,6.52621517019404e-06,5.18414487746287e-06,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:0070431","BP","GO:0070431","nucleotide-binding oligomerization domain containing 2 signaling pathway","5/93","21/17073",8.17127447000736e-08,1.05681816478762e-05,8.39490935023914e-06,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:0032069","BP","GO:0032069","regulation of nuclease activity","5/93","23/17073",1.33962581432806e-07,1.62429629987278e-05,1.29027117906334e-05,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:0051131","BP","GO:0051131","chaperone-mediated protein complex assembly","5/93","24/17073",1.68489821314994e-07,1.72036975447942e-05,1.36658780279862e-05,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:0090083","BP","GO:0090083","regulation of inclusion body assembly","5/93","24/17073",1.68489821314994e-07,1.72036975447942e-05,1.36658780279862e-05,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:1902236","BP","GO:1902236","negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway","5/93","24/17073",1.68489821314994e-07,1.72036975447942e-05,1.36658780279862e-05,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:0045926","BP","GO:0045926","negative regulation of growth","11/93","268/17073",2.27030501945808e-07,2.20219586887434e-05,1.74932976236138e-05,"GAL/SPP1/MT1H/HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A/MT1G/MT1X/EI24",11,"15-Topic Analysis","Topic k14"
"GO:1901673","BP","GO:1901673","regulation of mitotic spindle assembly","5/93","28/17073",3.8294862781053e-07,3.53771589501156e-05,2.81020947927125e-05,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:0042026","BP","GO:0042026","protein refolding","5/93","30/17073",5.50522566552111e-07,4.85460808686861e-05,3.85629204513057e-05,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:0007020","BP","GO:0007020","microtubule nucleation","5/93","31/17073",6.53577344184242e-07,5.51278281616273e-05,4.37911776606741e-05,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
"GO:2001243","BP","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","7/93","97/17073",9.76151013397224e-07,7.89055402496089e-05,6.2679170333927e-05,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A/MIF/MIF",7,"15-Topic Analysis","Topic k14"
"GO:0033120","BP","GO:0033120","positive regulation of RNA splicing","5/93","34/17073",1.05662636906443e-06,8.19942062393995e-05,6.51326738656978e-05,"HSPA1A/HSPA1A/HSPA1A/HSPA1A/HSPA1A",5,"15-Topic Analysis","Topic k14"
