"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Resolution","Topic"
"GO:0035019","BP","GO:0035019","somatic stem cell population maintenance","15/103","81/17073",1.04038564575889e-18,2.22746566756978e-15,1.86721844844095e-15,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/TDGF1/SOX2/ZSCAN10/SFRP1/EPHA1/EPHA1/DPPA4",15,"3-Topic Analysis","Topic k3"
"GO:0019827","BP","GO:0019827","stem cell population maintenance","16/103","174/17073",7.01763313388475e-15,4.50376784019556e-12,3.77537509158703e-12,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/TDGF1/SOX2/ZSCAN10/SFRP1/EPHA1/EPHA1/NODAL/DPPA4",16,"3-Topic Analysis","Topic k3"
"GO:0001714","BP","GO:0001714","endodermal cell fate specification","8/103","15/17073",8.26732177158379e-15,4.50376784019556e-12,3.77537509158703e-12,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SOX2",8,"3-Topic Analysis","Topic k3"
"GO:0098727","BP","GO:0098727","maintenance of cell number","16/103","176/17073",8.41432571732006e-15,4.50376784019556e-12,3.77537509158703e-12,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/TDGF1/SOX2/ZSCAN10/SFRP1/EPHA1/EPHA1/NODAL/DPPA4",16,"3-Topic Analysis","Topic k3"
"GO:0009786","BP","GO:0009786","regulation of asymmetric cell division","7/103","11/17073",7.65067600370552e-14,3.27601946478670e-11,2.74619001817219e-11,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"3-Topic Analysis","Topic k3"
"GO:0060795","BP","GO:0060795","cell fate commitment involved in formation of primary germ layer","10/103","48/17073",2.2089884005588e-13,7.88240694266065e-11,6.60758811044343e-11,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SOX2/SFRP2/NODAL",10,"3-Topic Analysis","Topic k3"
"GO:0001711","BP","GO:0001711","endodermal cell fate commitment","8/103","22/17073",3.9680277122628e-13,1.21364961885066e-10,1.01736650367039e-10,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SOX2",8,"3-Topic Analysis","Topic k3"
"GO:0006614","BP","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","12/103","110/17073",2.59803144978275e-12,6.95298166748108e-10,5.82847844984156e-10,"RPS27A/RPL12/RPL11/RPS7/RPL8/RPSA/RPS3/RPS24/RPS3A/RPS23/RPL15/RPS13",12,"3-Topic Analysis","Topic k3"
"GO:0001708","BP","GO:0001708","cell fate specification","11/103","85/17073",3.28649665035654e-12,7.6997761031287e-10,6.45449409072712e-10,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SOX2/ESRP1/SFRP2/NODAL",11,"3-Topic Analysis","Topic k3"
"GO:0006613","BP","GO:0006613","cotranslational protein targeting to membrane","12/103","113/17073",3.5963456810503e-12,7.6997761031287e-10,6.45449409072712e-10,"RPS27A/RPL12/RPL11/RPS7/RPL8/RPSA/RPS3/RPS24/RPS3A/RPS23/RPL15/RPS13",12,"3-Topic Analysis","Topic k3"
