"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Resolution","Topic"
"GO:0001714","BP","GO:0001714","endodermal cell fate specification","8/104","15/17073",8.95298462214744e-15,1.5846782781201e-11,1.44472899218442e-11,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SOX2",8,"7-Topic Analysis","Topic k6"
"GO:0009786","BP","GO:0009786","regulation of asymmetric cell division","7/104","11/17073",8.20109644483096e-14,7.2579703536754e-11,6.61698992101361e-11,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"7-Topic Analysis","Topic k6"
"GO:0001711","BP","GO:0001711","endodermal cell fate commitment","8/104","22/17073",4.29554890009507e-13,2.53437385105609e-10,2.31055314520903e-10,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SOX2",8,"7-Topic Analysis","Topic k6"
"GO:0060969","BP","GO:0060969","negative regulation of gene silencing","8/104","29/17073",5.56696085998835e-12,2.46338018054485e-09,2.2458292100953e-09,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/HMGA1",8,"7-Topic Analysis","Topic k6"
"GO:0060795","BP","GO:0060795","cell fate commitment involved in formation of primary germ layer","9/104","48/17073",1.11764027087489e-11,3.95644655889709e-09,3.60703691631831e-09,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP2/SOX2",9,"7-Topic Analysis","Topic k6"
"GO:0060965","BP","GO:0060965","negative regulation of gene silencing by miRNA","7/104","20/17073",1.84199530173766e-11,5.43388614012611e-09,4.95399789046287e-09,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"7-Topic Analysis","Topic k6"
"GO:0060149","BP","GO:0060149","negative regulation of posttranscriptional gene silencing","7/104","22/17073",4.01219714486657e-11,8.87698618301730e-09,8.09302397773745e-09,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"7-Topic Analysis","Topic k6"
"GO:0060967","BP","GO:0060967","negative regulation of gene silencing by RNA","7/104","22/17073",4.01219714486657e-11,8.87698618301730e-09,8.09302397773745e-09,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"7-Topic Analysis","Topic k6"
"GO:0042789","BP","GO:0042789","mRNA transcription by RNA polymerase II","7/104","24/17073",8.0616465095339e-11,1.585457146875e-08,1.44543907591994e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"7-Topic Analysis","Topic k6"
"GO:0008356","BP","GO:0008356","asymmetric cell division","7/104","27/17073",2.03775612162628e-10,3.60682833527852e-08,3.28829487837167e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"7-Topic Analysis","Topic k6"
"GO:0009299","BP","GO:0009299","mRNA transcription","7/104","31/17073",5.91499332598454e-10,9.51776198817513e-08,8.6772103050089e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"7-Topic Analysis","Topic k6"
"GO:0035987","BP","GO:0035987","endodermal cell differentiation","8/104","52/17073",8.69793490329366e-10,1.28294539823582e-07,1.16964335146923e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SOX2",8,"7-Topic Analysis","Topic k6"
"GO:0035019","BP","GO:0035019","somatic stem cell population maintenance","9/104","81/17073",1.47299336006222e-09,2.00553711331548e-07,1.82842009795577e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/SOX2",9,"7-Topic Analysis","Topic k6"
"GO:0060968","BP","GO:0060968","regulation of gene silencing","10/104","115/17073",1.98509686547957e-09,2.50972960849917e-07,2.28808533442119e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/HMGA1/TRIM71",10,"7-Topic Analysis","Topic k6"
"GO:0001708","BP","GO:0001708","cell fate specification","9/104","85/17073",2.27842646386937e-09,2.68854322736586e-07,2.45110720639421e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP2/SOX2",9,"7-Topic Analysis","Topic k6"
"GO:0001706","BP","GO:0001706","endoderm formation","8/104","59/17073",2.47465151082071e-09,2.73758323384541e-07,2.49581629347905e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SOX2",8,"7-Topic Analysis","Topic k6"
"GO:0060964","BP","GO:0060964","regulation of gene silencing by miRNA","9/104","90/17073",3.81129382937362e-09,3.96822945764194e-07,3.61777922008035e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/TRIM71",9,"7-Topic Analysis","Topic k6"
"GO:0060147","BP","GO:0060147","regulation of posttranscriptional gene silencing","9/104","93/17073",5.11291506781983e-09,4.76308403686374e-07,4.34243700773839e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/TRIM71",9,"7-Topic Analysis","Topic k6"
"GO:0060966","BP","GO:0060966","regulation of gene silencing by RNA","9/104","93/17073",5.11291506781983e-09,4.76308403686374e-07,4.34243700773839e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/TRIM71",9,"7-Topic Analysis","Topic k6"
"GO:0006614","BP","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","9/104","110/17073",2.266265550724e-08,2.00564501239074e-06,1.82851846803153e-06,"RPL3/RPS3A/RPS7/RPS27A/RPS24/SRP9/RPL18A/RPS15A/SRP14",9,"7-Topic Analysis","Topic k6"
"GO:0006613","BP","GO:0006613","cotranslational protein targeting to membrane","9/104","113/17073",2.87021877880652e-08,2.41918439927978e-06,2.20553653529343e-06,"RPL3/RPS3A/RPS7/RPS27A/RPS24/SRP9/RPL18A/RPS15A/SRP14",9,"7-Topic Analysis","Topic k6"
"GO:0045047","BP","GO:0045047","protein targeting to ER","9/104","116/17073",3.61037481062256e-08,2.90471064309179e-06,2.64818401181071e-06,"RPL3/RPS3A/RPS7/RPS27A/RPS24/SRP9/RPL18A/RPS15A/SRP14",9,"7-Topic Analysis","Topic k6"
"GO:0007492","BP","GO:0007492","endoderm development","8/104","83/17073",3.90316524318924e-08,3.00374020888911e-06,2.73846788000417e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SOX2",8,"7-Topic Analysis","Topic k6"
"GO:0072599","BP","GO:0072599","establishment of protein localization to endoplasmic reticulum","9/104","120/17073",4.8535175802686e-08,3.57946921544809e-06,3.26335195199639e-06,"RPL3/RPS3A/RPS7/RPS27A/RPS24/SRP9/RPL18A/RPS15A/SRP14",9,"7-Topic Analysis","Topic k6"
"GO:0051302","BP","GO:0051302","regulation of cell division","10/104","169/17073",8.10464346417208e-08,5.73808757263383e-06,5.23133407603191e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP2/CENPV/YBX1",10,"7-Topic Analysis","Topic k6"
"GO:0035195","BP","GO:0035195","gene silencing by miRNA","9/104","128/17073",8.49962039805544e-08,5.74700857672781e-06,5.23946723052259e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/TRIM71",9,"7-Topic Analysis","Topic k6"
"GO:0016458","BP","GO:0016458","gene silencing","11/104","218/17073",9.01445253469554e-08,5.74700857672781e-06,5.23946723052259e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/HMGA1/HMGB1/TRIM71",11,"7-Topic Analysis","Topic k6"
"GO:0001704","BP","GO:0001704","formation of primary germ layer","9/104","129/17073",9.09131300273326e-08,5.74700857672781e-06,5.23946723052259e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP2/SOX2",9,"7-Topic Analysis","Topic k6"
