"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Resolution","Topic"
"GO:0009786","BP","GO:0009786","regulation of asymmetric cell division","7/104","11/17073",8.20109644483096e-14,1.95432128280322e-10,1.66266439502573e-10,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"8-Topic Analysis","Topic k5"
"GO:0001714","BP","GO:0001714","endodermal cell fate specification","7/104","15/17073",1.56764136118291e-12,1.86784468184944e-09,1.5890932955991e-09,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"8-Topic Analysis","Topic k5"
"GO:0060965","BP","GO:0060965","negative regulation of gene silencing by miRNA","7/104","20/17073",1.84199530173766e-11,1.46315826801362e-08,1.24480103549008e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"8-Topic Analysis","Topic k5"
"GO:0001711","BP","GO:0001711","endodermal cell fate commitment","7/104","22/17073",4.01219714486657e-11,1.59351096603617e-08,1.35570029842334e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"8-Topic Analysis","Topic k5"
"GO:0060149","BP","GO:0060149","negative regulation of posttranscriptional gene silencing","7/104","22/17073",4.01219714486657e-11,1.59351096603617e-08,1.35570029842334e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"8-Topic Analysis","Topic k5"
"GO:0060967","BP","GO:0060967","negative regulation of gene silencing by RNA","7/104","22/17073",4.01219714486657e-11,1.59351096603617e-08,1.35570029842334e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"8-Topic Analysis","Topic k5"
"GO:0035019","BP","GO:0035019","somatic stem cell population maintenance","10/104","81/17073",5.93442707321535e-11,2.02024853078174e-08,1.71875286361094e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP1/LIN28A/PRDM14",10,"8-Topic Analysis","Topic k5"
"GO:0042789","BP","GO:0042789","mRNA transcription by RNA polymerase II","7/104","24/17073",8.0616465095339e-11,2.40136295402741e-08,2.04299094438978e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"8-Topic Analysis","Topic k5"
"GO:0008356","BP","GO:0008356","asymmetric cell division","7/104","27/17073",2.03775612162628e-10,5.3955253753727e-08,4.59031378976868e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"8-Topic Analysis","Topic k5"
"GO:0040029","BP","GO:0040029","regulation of gene expression, epigenetic","15/104","292/17073",2.66579010887032e-10,6.35257782943797e-08,5.40453868387814e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/RAN/LIN28A/DNMT3B/PRDM14/MYCN/HNRNPU/HMGB1/HNRNPA2B1",15,"8-Topic Analysis","Topic k5"
"GO:0035195","BP","GO:0035195","gene silencing by miRNA","11/104","128/17073",3.36492402090228e-10,7.04175635119628e-08,5.99086632612763e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/RAN/LIN28A/MYCN/HNRNPA2B1",11,"8-Topic Analysis","Topic k5"
"GO:0060969","BP","GO:0060969","negative regulation of gene silencing","7/104","29/17073",3.54599564474844e-10,7.04175635119628e-08,5.99086632612763e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"8-Topic Analysis","Topic k5"
"GO:0060795","BP","GO:0060795","cell fate commitment involved in formation of primary germ layer","8/104","48/17073",4.44974605452494e-10,8.15672680610225e-08,6.93944202511338e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP2",8,"8-Topic Analysis","Topic k5"
"GO:0035194","BP","GO:0035194","posttranscriptional gene silencing by RNA","11/104","133/17073",5.088039407505e-10,8.66056993434601e-08,7.36809315703355e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/RAN/LIN28A/MYCN/HNRNPA2B1",11,"8-Topic Analysis","Topic k5"
"GO:0016441","BP","GO:0016441","posttranscriptional gene silencing","11/104","134/17073",5.51531333156423e-10,8.76199444607837e-08,7.4543813870826e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/RAN/LIN28A/MYCN/HNRNPA2B1",11,"8-Topic Analysis","Topic k5"
"GO:0009299","BP","GO:0009299","mRNA transcription","7/104","31/17073",5.91499332598454e-10,8.80964318488823e-08,7.49491917489884e-08,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"8-Topic Analysis","Topic k5"
"GO:0001708","BP","GO:0001708","cell fate specification","9/104","85/17073",2.27842646386937e-09,3.19381780200042e-07,2.71718227208199e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP2/PRDM14",9,"8-Topic Analysis","Topic k5"
"GO:0031047","BP","GO:0031047","gene silencing by RNA","11/104","160/17073",3.65159871774644e-09,4.78016483968281e-07,4.06678776474991e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/RAN/LIN28A/MYCN/HNRNPA2B1",11,"8-Topic Analysis","Topic k5"
"GO:0060964","BP","GO:0060964","regulation of gene silencing by miRNA","9/104","90/17073",3.81129382937362e-09,4.78016483968281e-07,4.06678776474991e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/MYCN",9,"8-Topic Analysis","Topic k5"
"GO:0060147","BP","GO:0060147","regulation of posttranscriptional gene silencing","9/104","93/17073",5.11291506781983e-09,5.80194124124507e-07,4.93607740382005e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/MYCN",9,"8-Topic Analysis","Topic k5"
"GO:0060966","BP","GO:0060966","regulation of gene silencing by RNA","9/104","93/17073",5.11291506781983e-09,5.80194124124507e-07,4.93607740382005e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/MYCN",9,"8-Topic Analysis","Topic k5"
"GO:0016458","BP","GO:0016458","gene silencing","12/104","218/17073",8.54639218846258e-09,9.25729662959378e-07,7.87576619855451e-07,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/RAN/LIN28A/MYCN/HMGB1/HNRNPA2B1",12,"8-Topic Analysis","Topic k5"
"GO:0001824","BP","GO:0001824","blastocyst development","9/104","112/17073",2.65491971811066e-08,2.69129385958026e-06,2.28965345475697e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/NASP/PRDM14",9,"8-Topic Analysis","Topic k5"
"GO:0035987","BP","GO:0035987","endodermal cell differentiation","7/104","52/17073",2.71049318631667e-08,2.69129385958026e-06,2.28965345475697e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"8-Topic Analysis","Topic k5"
"GO:0060968","BP","GO:0060968","regulation of gene silencing","9/104","115/17073",3.34702962188966e-08,3.19038863558522e-06,2.71426486389873e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/MYCN",9,"8-Topic Analysis","Topic k5"
"GO:0001706","BP","GO:0001706","endoderm formation","7/104","59/17073",6.67500203738983e-08,6.11789609811537e-06,5.20488013117928e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"8-Topic Analysis","Topic k5"
"GO:0019827","BP","GO:0019827","stem cell population maintenance","10/104","174/17073",1.06633260388358e-07,9.41137257427617e-06,8.00684832389774e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP1/LIN28A/PRDM14",10,"8-Topic Analysis","Topic k5"
"GO:0098727","BP","GO:0098727","maintenance of cell number","10/104","176/17073",1.18709150945011e-07,1.01029966679271e-05,8.59525656842445e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP1/LIN28A/PRDM14",10,"8-Topic Analysis","Topic k5"
"GO:0007369","BP","GO:0007369","gastrulation","10/104","186/17073",1.98993097368421e-07,1.63517431389292e-05,1.39114593659375e-05,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/OTX2/SFRP2/SFRP1",10,"8-Topic Analysis","Topic k5"
"GO:0048024","BP","GO:0048024","regulation of mRNA splicing, via spliceosome","7/104","75/17073",3.58630449438043e-07,2.84872120336952e-05,2.42358682672867e-05,"SRSF7/HNRNPK/HNRNPU/HSPA8/HNRNPA2B1/SRSF3/C1QBP",7,"8-Topic Analysis","Topic k5"
"GO:0007492","BP","GO:0007492","endoderm development","7/104","83/17073",7.20921787772151e-07,5.54179554922915e-05,4.71475505347764e-05,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"8-Topic Analysis","Topic k5"
"GO:0051302","BP","GO:0051302","regulation of cell division","9/104","169/17073",9.0552395756902e-07,6.7433237215218e-05,5.73697086275636e-05,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP2/CENPV",9,"8-Topic Analysis","Topic k5"
"GO:0001704","BP","GO:0001704","formation of primary germ layer","8/104","129/17073",1.19805526312983e-06,8.6514111879951e-05,7.36030123377369e-05,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP2",8,"8-Topic Analysis","Topic k5"
"GO:0045165","BP","GO:0045165","cell fate commitment","10/104","250/17073",2.95841490443691e-06,0.000207350079919799,0.00017640579275373,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP2/SFRP1/PRDM14",10,"8-Topic Analysis","Topic k5"
"GO:0006695","BP","GO:0006695","cholesterol biosynthetic process","6/104","68/17073",3.56079333860833e-06,0.000235704736830657,0.000200528888016364,"RAN/ACAT2/APOE/FDFT1/FDFT1/FDPS",6,"8-Topic Analysis","Topic k5"
"GO:1902653","BP","GO:1902653","secondary alcohol biosynthetic process","6/104","68/17073",3.56079333860833e-06,0.000235704736830657,0.000200528888016364,"RAN/ACAT2/APOE/FDFT1/FDFT1/FDPS",6,"8-Topic Analysis","Topic k5"
"GO:0016126","BP","GO:0016126","sterol biosynthetic process","6/104","71/17073",4.59105587545887e-06,0.000294345602952996,0.000250418371927234,"RAN/ACAT2/APOE/FDFT1/FDFT1/FDPS",6,"8-Topic Analysis","Topic k5"
"GO:0048025","BP","GO:0048025","negative regulation of mRNA splicing, via spliceosome","4/104","19/17073",4.69371922459666e-06,0.000294345602952996,0.000250418371927234,"SRSF7/HNRNPK/HNRNPA2B1/C1QBP",4,"8-Topic Analysis","Topic k5"
"GO:0000377","BP","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","11/104","336/17073",6.36023368631938e-06,0.000378910921862477,0.000322363423153977,"SNRPN/SRSF7/PSIP1/HNRNPK/HNRNPU/SNRPD1/HSPA8/HNRNPA2B1/SRSF3/C1QBP/LSM6",11,"8-Topic Analysis","Topic k5"
"GO:0000398","BP","GO:0000398","mRNA splicing, via spliceosome","11/104","336/17073",6.36023368631938e-06,0.000378910921862477,0.000322363423153977,"SNRPN/SRSF7/PSIP1/HNRNPK/HNRNPU/SNRPD1/HSPA8/HNRNPA2B1/SRSF3/C1QBP/LSM6",11,"8-Topic Analysis","Topic k5"
"GO:0050684","BP","GO:0050684","regulation of mRNA processing","7/104","116/17073",6.87121850755534e-06,0.000399368626914741,0.0003397680833261,"SRSF7/HNRNPK/HNRNPU/HSPA8/HNRNPA2B1/SRSF3/C1QBP",7,"8-Topic Analysis","Topic k5"
"GO:0000375","BP","GO:0000375","RNA splicing, via transesterification reactions","11/104","340/17073",7.11413809246504e-06,0.000403642644627243,0.000343404259801696,"SNRPN/SRSF7/PSIP1/HNRNPK/HNRNPU/SNRPD1/HSPA8/HNRNPA2B1/SRSF3/C1QBP/LSM6",11,"8-Topic Analysis","Topic k5"
"GO:0045540","BP","GO:0045540","regulation of cholesterol biosynthetic process","5/104","46/17073",8.55731690219314e-06,0.000463456504043778,0.000394291683101052,"RAN/APOE/FDFT1/FDFT1/FDPS",5,"8-Topic Analysis","Topic k5"
"GO:0106118","BP","GO:0106118","regulation of sterol biosynthetic process","5/104","46/17073",8.55731690219314e-06,0.000463456504043778,0.000394291683101052,"RAN/APOE/FDFT1/FDFT1/FDPS",5,"8-Topic Analysis","Topic k5"
"GO:0043484","BP","GO:0043484","regulation of RNA splicing","7/104","121/17073",9.07633581211837e-06,0.000480642405339513,0.000408912813430175,"SRSF7/HNRNPK/HNRNPU/HSPA8/HNRNPA2B1/SRSF3/C1QBP",7,"8-Topic Analysis","Topic k5"
"GO:0033119","BP","GO:0033119","negative regulation of RNA splicing","4/104","24/17073",1.25697838497792e-05,0.000651169454652691,0.000553990931228254,"SRSF7/HNRNPK/HNRNPA2B1/C1QBP",4,"8-Topic Analysis","Topic k5"
"GO:0071824","BP","GO:0071824","protein-DNA complex subunit organization","8/104","199/17073",2.92959423734046e-05,0.0014853666101239,0.00126369507303868,"TERF1/SET/NASP/PTMA/CENPV/NAP1L1/HMGB1/PARP1",8,"8-Topic Analysis","Topic k5"
"GO:0090181","BP","GO:0090181","regulation of cholesterol metabolic process","5/104","60/17073",3.18684280009251e-05,0.00158213466512926,0.00134602176161802,"RAN/APOE/FDFT1/FDFT1/FDPS",5,"8-Topic Analysis","Topic k5"
"GO:0050686","BP","GO:0050686","negative regulation of mRNA processing","4/104","32/17073",4.09744690601412e-05,0.00199269713816972,0.00169531315595772,"SRSF7/HNRNPK/HNRNPA2B1/C1QBP",4,"8-Topic Analysis","Topic k5"
"GO:0051348","BP","GO:0051348","negative regulation of transferase activity","9/104","276/17073",4.76106089750964e-05,0.0022691216237531,0.00193048490286391,"SFRP2/TERF1/SFRP1/APOE/USP44/DUSP6/GSTP1/HNRNPU/PYDC1",9,"8-Topic Analysis","Topic k5"
"GO:0043508","BP","GO:0043508","negative regulation of JUN kinase activity","3/104","13/17073",6.00745150666169e-05,0.00280701116477938,0.00238810146580607,"SFRP2/SFRP1/GSTP1",3,"8-Topic Analysis","Topic k5"
